TypeData
SB
R[arcmin]   I[mag/arcmin^2]   dI[mag/arcmin^2]
  0.007667 4511668.114566 1396214.365746
  0.018167 3616905.356733 719559.275661
  0.029667 2794712.547277 491638.847623
  0.041333 2367757.084695 385998.921427
  0.053000 1969414.561821 308362.633614
  0.064667 1747177.968715 263910.502029
  0.065500 2024590.267320 186471.654758
  0.073000 1715288.376876 126387.118297
  0.076500 1779660.432331 244230.047092
  0.088167 1466685.994064 205331.893807
  0.099833 1453239.336046 192741.536548
  0.111500 1219936.273446 166293.218996
  0.119000 1231224.204805 81647.956803
  0.123333 1265718.549188 160876.241413
  0.134667 1289250.013903 89058.235895
  0.135000 1072351.453458 142224.795140
  0.142833 951343.038953 65716.448995
  0.146667 1072351.453458 136298.762009
  0.158500 969029.826563 124951.323465
  0.165500 933979.071599 60215.856048
  0.166000 828585.148486 57236.634335
  0.170167 916932.032366 116544.534402
  0.182000 798614.414655 105183.801365
  0.212167 682868.602401 45284.056254
  0.223833 611416.486090 28156.769730
  0.244833 611416.486090 42235.154594
  0.259000 611416.486090 39419.477621
  0.269167 532521.497683 61308.803113
  0.287000 434847.667378 40050.950265
  0.292167 513259.675171 17490.996338
  0.305833 485665.378077 31759.318417
  0.352667 368414.864778 25788.519900
  0.399667 292642.329185 21562.683672
  0.403667 292642.329185 47168.370533
  0.414000 292642.329185 13476.677295
  0.416833 262021.630461 30166.355017
  0.446500 274370.329462 19963.648566
  0.448667 208131.179183 9584.795011
  0.475833 264446.086757 9742.553876
  0.493500 266892.976271 18682.131173
  0.538333 254880.813600 58688.476189
  0.540500 228211.299912 16605.039616
  0.587333 186353.324453 14417.571400
  0.634167 156436.159233 12679.306403
  0.662000 149395.372253 6604.714697
  0.681167 146668.599406 12022.722729
  0.709578 171569.069782 34764.609660
  0.728167 117580.998732 10504.721890
  0.732833 119766.992707 5515.473841
  0.848833 89194.308888 5421.965631
  0.897500 60025.687755 6910.712691
  1.036000 56277.804278 4198.535636
  1.142878 45755.046031 10008.714257
  1.223500 44703.048927 3787.918726
  1.345833 35183.346444 4860.758943
  1.358313 37020.220111 7416.072006
  1.411000 33910.730451 3529.321878
  1.584893 25086.437768 5718.602106
  1.598667 24566.152571 3258.181826
  1.737801 22826.482688 4520.153014
  1.794667 18127.467900 3756.603362
  1.883649 16384.718963 3508.630496
  2.004472 14535.801934 3012.292876
  2.027683 14369.411985 3474.113352
  2.238667 8060.039029 2412.660343
  2.269865 11128.560639 2357.450121
  2.477422 8678.386673 2238.065064
  2.535129 8326.049655 1802.115155
  2.691500 7912.926737 2368.624329
  2.716439 6989.385531 1448.428944
  2.805434 5760.219017 1313.076050
  2.851018 5564.664644 1037.862222
  2.851019 5145.635235 971.557565
  2.924152 4902.741513 1399.833461
  3.069022 4471.353403 1050.158512
  3.140500 5576.184627 1925.945940
  3.334264 2834.255490 724.398703
  3.372873 3985.097915 1156.179409
  3.507519 2335.817977 403.381474
  3.605786 2006.499226 545.175954
  3.767038 2423.477526 574.767112
  3.872576 1889.900747 513.495560
  3.881504 1719.645773 304.891566
  3.953666 2368.312442 408.993069
  3.953667 1642.248964 328.983365
  3.953668 1420.492669 287.830861
  4.064433 1821.541191 524.281699
  4.064434 1907.387783 333.786123
  4.139997 1413.966098 406.972157
  4.246196 1420.492669 255.122809
  4.436086 1410.714066 259.863134
  4.539416 1123.153194 287.063294
  4.613176 1138.777812 209.770625
  4.797334 1107.742955 204.053793
  4.830588 987.276948 279.614569
  4.988845 973.731000 181.609977
  5.069907 710.295391 197.897385
  5.069908 1001.011338 179.783275
  5.069909 750.652606 164.201943
  5.069910 728.515836 159.359622
  5.164164 967.027883 180.359783
  5.357967 775.245041 149.945685
  5.457579 620.067539 189.891850
  5.533501 752.383039 143.791355
  5.610480 532.646401 158.213812
  5.727960 665.945972 127.271973
  5.888437 601.781727 189.834548
  5.902011 564.207684 109.127441
  6.095369 569.428233 114.070656
  6.180164 445.080940 104.533347
  6.180165 357.634162  88.112691
  6.180166 515.749715  95.004608
  6.280584 519.324721 101.642096
  6.426877 406.854381 106.797119
  6.456542 488.021546  97.762869
  6.637431 379.698601  76.937374
  6.823387 422.122981  86.505693
  6.950243 417.290979 144.127198
  7.014553 360.113163  73.798017
  7.194490 371.910977  78.784814
  7.227698 427.995297 137.969383
  7.294575 265.117867  51.888798
  7.294576 282.123327  72.107039
  7.294577 249.137439  65.397258
  7.379042 287.368391  60.875496
  7.481695 223.583112  68.470946
  7.568329 300.911646  65.823094
  7.744618 250.287406  54.172957
  7.943282 262.687252  58.671396
  8.016781 194.284877  92.155637
  8.128305 193.392219  43.639600
  8.298508 174.356843  41.753033
  8.413951 110.519522  37.663129
  8.413952 143.033905  30.299992
  8.413953 115.994927  38.994876
  8.491805 172.758330  40.574657
  8.669619 196.082573  46.504171
  8.851156 152.208532  35.748256
  9.015711 230.908009  89.323137
  9.036495 148.743843  37.674489
  9.225714 126.893389  31.847928
  9.527962 105.302576  35.400349
  9.527963 106.032499  35.645732
  9.527964 107.507558  23.764349
  9.594006 114.140297  29.435587
  9.594007 137.226819  30.649714
  9.660509 154.325963  61.830667
  9.954054 123.719739  31.336275
 10.327614  90.664860  22.755228
 10.519619  74.892615  18.796682
 10.641430  64.185806  26.602790
 10.641431  73.865050  17.518298
 10.789467 156.112974  68.657511
 11.066238  65.529823  17.955671
 11.246050  42.799530  17.344722
 11.271975  57.602190  15.916073
 11.748976  29.136608   9.325443
 11.776060  56.942823  39.334709
 11.803206  44.100041  14.317718
 11.994993  38.675772  12.645705
 12.359474  28.212333  14.356447
 12.560300  39.304203  14.118198
 12.589254  59.352497  44.689185
 12.735031  41.156553  13.456838
 12.882496  32.466763   9.718473
 13.458604  18.554062  12.047690
 13.677288  16.498292   8.585451
 13.772095  17.395583   8.091072
 13.995873   7.716831   5.099606
 15.100802   9.213805   5.219030
 15.703628  15.432596  10.767064
